codi                           area_joc_id             tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom   codi_carrer            tipus_via   nom_carrer              numero_postal codi_districte nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                espai_verd_codi        espai_verd_nom
0000-01-J001-PV003-0002515JO                  162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.277.040              4.585.713.663              22.015.487                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002517JO                  162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.274.499              4.585.714.601              22.015.182                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002518JO                  162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.275.017              4.585.713.590              22.015.245                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002519JO                  162840   EQUILIBRI          350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.265.628              4.585.707.346              22.014.129                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002521JO                  162840   MULTIJOC           350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.273.868              4.585.707.275              22.015.115                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV004-0002516JO                  162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.261.138              4.585.716.875              22.013.581                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV004-0002520JO                  162840   MULTIJOC           350.57                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          28             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.259.209              4.585.714.877              22.013.352                      0   Ram_de_l'Aigua_Pl.
0001-01-J001-PV001-0000345JO                   42391   MULTIJOC           90.17                                             547   DE_6_A_12_ANYS                           60807   C           Cantabria                          63             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.977.275              4.585.992.710              21.979.310                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0000346JO                   42391   GRONXADOR          90.17                                             547   DE_6_A_12_ANYS                           60807   C           Cantabria                          63             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.978.779              4.585.988.247              21.979.495                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0004661JO                   42391   SEIENT_GRONXADOR   90.17                                             547   DE_6_A_12_ANYS                           60807   C           Cantabria                          63             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.977.989              4.585.988.252              21.979.400                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0004662JO                   42391   SEIENT_GRONXADOR   90.17                                             547   DE_6_A_12_ANYS                           60807   C           Cantabria                          63             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.979.268              4.585.988.079              21.979.553                      1   Grup_Mare_de_Deu_de_la_Fe
0002-01-J001-PV001-0000335JO                   42362   BALANCi            70.32                                             546   FINS_A_5_ANYS                           318906   C           Santander                           6             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.491              4.585.938.846              21.977.002                      2   Grup_Montseny
0002-01-J001-PV001-0000340JO                   42362   GRONXADOR          70.32                                             546   FINS_A_5_ANYS                           318906   C           Santander                           6             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.399              4.585.934.827              21.976.995                      2   Grup_Montseny
