codi                           codi_carrer        tipus_via   nom_carrer           numero_postal          codi_districte        nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                latitud                 espai_verd_codi        espai_verd_nom
0000-01-J001-PV003-0002515JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.277.040              4.585.713.663              22.015.487             414.202.101                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002517JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.274.499              4.585.714.601              22.015.182             414.202.183                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002518JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.275.017              4.585.713.590              22.015.245             414.202.093                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002519JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.265.628              4.585.707.346              22.014.129             414.201.523                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV003-0002521JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.273.868              4.585.707.275              22.015.115             414.201.523                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV004-0002516JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.261.138              4.585.716.875              22.013.581             414.202.377                      0   Ram_de_l'Aigua_Pl.
0000-01-J001-PV004-0002520JO              60807   C           Cantabria                              28                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.259.209              4.585.714.877              22.013.352             414.202.196                      0   Ram_de_l'Aigua_Pl.
0001-01-J001-PV001-0000345JO              60807   C           Cantabria                              63                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.977.275              4.585.992.710              21.979.310             414.226.985                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0000346JO              60807   C           Cantabria                              63                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.978.779              4.585.988.247              21.979.495             414.226.584                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0004661JO              60807   C           Cantabria                              63                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.977.989              4.585.988.252              21.979.400             414.226.584                      1   Grup_Mare_de_Deu_de_la_Fe
0001-01-J001-PV001-0004662JO              60807   C           Cantabria                              63                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.979.268              4.585.988.079              21.979.553             414.226.569                      1   Grup_Mare_de_Deu_de_la_Fe
0002-01-J001-PV001-0000335JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.491              4.585.938.846              21.977.002             414.222.117                      2   Grup_Montseny
0002-01-J001-PV001-0000340JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.399              4.585.934.827              21.976.995             414.221.755                      2   Grup_Montseny
0002-01-J001-PV001-0004657JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.087              4.585.935.116              21.976.958             414.221.780                      2   Grup_Montseny
0002-01-J001-PV001-0004658JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.957.817              4.585.934.350              21.977.046             414.221.712                      2   Grup_Montseny
0002-01-J002-PV001-0000341JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.927.455              4.585.939.081              21.973.408             414.222.113                      2   Grup_Montseny
0002-01-J003-PV001-0000336JO             318906   C           Santander                               6                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     432.914.524              4.585.944.014              21.971.855             414.222.546                      2   Grup_Montseny
