codi                           area_joc_id       tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom
0000-01-J001-PV003-0002515JO            162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV003-0002517JO            162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV003-0002518JO            162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV003-0002519JO            162840   EQUILIBRI          350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV003-0002521JO            162840   MULTIJOC           350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV004-0002516JO            162840   ALTRES_JOCS        350.57                                            547   DE_6_A_12_ANYS
0000-01-J001-PV004-0002520JO            162840   MULTIJOC           350.57                                            547   DE_6_A_12_ANYS
0001-01-J001-PV001-0000345JO             42391   MULTIJOC           90.17                                             547   DE_6_A_12_ANYS
0001-01-J001-PV001-0000346JO             42391   GRONXADOR          90.17                                             547   DE_6_A_12_ANYS
0001-01-J001-PV001-0004661JO             42391   SEIENT_GRONXADOR   90.17                                             547   DE_6_A_12_ANYS
0001-01-J001-PV001-0004662JO             42391   SEIENT_GRONXADOR   90.17                                             547   DE_6_A_12_ANYS
0002-01-J001-PV001-0000335JO             42362   BALANCi            70.32                                             546   FINS_A_5_ANYS
0002-01-J001-PV001-0000340JO             42362   GRONXADOR          70.32                                             546   FINS_A_5_ANYS
0002-01-J001-PV001-0004657JO             42362   SEIENT_GRONXADOR   70.32                                             546   FINS_A_5_ANYS
0002-01-J001-PV001-0004658JO             42362   SEIENT_GRONXADOR   70.32                                             546   FINS_A_5_ANYS
0002-01-J002-PV001-0000341JO             42363   TOBOGAN            34.17                                             546   FINS_A_5_ANYS
0002-01-J003-PV001-0000336JO             42364   BALANCi            68.11                                             546   FINS_A_5_ANYS
0002-01-J003-PV001-0000339JO             42364   GRONXADOR          68.11                                             546   FINS_A_5_ANYS
0002-01-J003-PV001-0004637JO             42364   SEIENT_GRONXADOR   68.11                                             546   FINS_A_5_ANYS
0002-01-J003-PV001-0004638JO             42364   SEIENT_GRONXADOR   68.11                                             546   FINS_A_5_ANYS
0002-01-J004-PV001-0000342JO             42361   MULTIJOC           79.33                                             546   FINS_A_5_ANYS
0005-01-J001-PV001-0000331JO             42350   VA_I_Ve            75.25                                             547   DE_6_A_12_ANYS
0005-01-J001-PV001-0000332JO             42350   GRONXADOR          75.25                                             547   DE_6_A_12_ANYS
0005-01-J001-PV001-0000333JO             42350   BALANCi            75.25                                             547   DE_6_A_12_ANYS
0005-01-J001-PV001-0000334JO             42350   BALANCi            75.25                                             547   DE_6_A_12_ANYS
0005-01-J001-PV001-0004663JO             42350   SEIENT_GRONXADOR   75.25                                             547   DE_6_A_12_ANYS
0005-01-J001-PV001-0004664JO             42350   SEIENT_GRONXADOR   75.25                                             547   DE_6_A_12_ANYS
0006-01-J001-PV001-0000326JO             42322   BALANCi            101.57                                            549   MIXTA
0006-01-J001-PV001-0000328JO             42322   GRONXADOR          101.57                                            549   MIXTA
0006-01-J001-PV001-0000330JO             42322   VA_I_Ve            101.57                                            549   MIXTA
0006-01-J001-PV001-0004665JO             42322   SEIENT_GRONXADOR   101.57                                            549   MIXTA
0006-01-J001-PV001-0004666JO             42322   SEIENT_GRONXADOR   101.57                                            549   MIXTA
0006-01-J002-PV001-0000325JO             42323   ALTRES_JOCS        87.04                                             549   MIXTA
0006-01-J002-PV001-0000327JO             42323   BALANCi            87.04                                             549   MIXTA
0006-01-J002-PV001-0000329JO             42323   TOBOGAN            87.04                                             549   MIXTA
0007-01-J001-PV001-0000324JO             42304   MULTIJOC           124.12                                            547   DE_6_A_12_ANYS
0007-01-J001-PV001-0004303JO             42304   VA_I_Ve            124.12                                            547   DE_6_A_12_ANYS
0008-01-J001-PV001-0000321JO             42287   VA_I_Ve            123.13                                            547   DE_6_A_12_ANYS
0008-01-J001-PV001-0000322JO             42287   MULTIJOC           123.13                                            547   DE_6_A_12_ANYS
0008-01-J002-PV001-0000320JO             42288   GRIMPAR            99.30                                             547   DE_6_A_12_ANYS
0008-01-J002-PV001-0000323JO             42288   GRONXADOR          99.30                                             547   DE_6_A_12_ANYS
0008-01-J002-PV001-0004667JO             42288   SEIENT_GRONXADOR   99.30                                             547   DE_6_A_12_ANYS
0008-01-J002-PV001-0004668JO             42288   SEIENT_GRONXADOR   99.30                                             547   DE_6_A_12_ANYS
0011-01-J001-PV001-0000315JO             42264   BALANCi            66.10                                             546   FINS_A_5_ANYS
0011-01-J001-PV001-0000316JO             42264   ALTRES_JOCS        66.10                                             546   FINS_A_5_ANYS
0011-01-J001-PV001-0000318JO             42264   BALANCi            66.10                                             546   FINS_A_5_ANYS
0011-01-J002-PV001-0003466JO            696500   GRONXADOR          117.48                                            547   DE_6_A_12_ANYS
0011-01-J002-PV001-0003467JO            696500   MULTIJOC           117.48                                            547   DE_6_A_12_ANYS
0011-01-J002-PV001-0004669JO            696500   SEIENT_GRONXADOR   117.48                                            547   DE_6_A_12_ANYS
0011-01-J002-PV001-0004670JO            696500   SEIENT_GRONXADOR   117.48                                            547   DE_6_A_12_ANYS
0013-01-J001-PV001-0000313JO             42252   TORRE_TOBOGAN      102.04                                            547   DE_6_A_12_ANYS
0019-02-J001-PV001-0000308JO             42237   MULTIJOC           123.23                                            547   DE_6_A_12_ANYS
0019-02-J001-PV001-0000310JO     42237   BALANCi            123.23   547   DE_6_A_12_ANYS
0019-02-J001-PV001-0000311JO     42237   BALANCi            123.23   547   DE_6_A_12_ANYS
0019-02-J002-PV001-0000307JO     42238   MULTIJOC           106.04   546   FINS_A_5_ANYS
0019-02-J002-PV001-0000309JO     42238   BALANCi            106.04   546   FINS_A_5_ANYS
0020-01-J001-PV001-0005007JO   1029320   CARRUSEL           297.66     0   -
0020-01-J001-PV001-0005008JO   1029320   MULTIJOC           297.66     0   -
0020-01-J001-PV001-0005009JO   1029320   GRONXADOR          297.66     0   -
0022-01-J001-PV002-0000298JO     42172   GRONXADOR          107.04   547   DE_6_A_12_ANYS
0022-01-J001-PV002-0000299JO     42172   VA_I_Ve            107.04   547   DE_6_A_12_ANYS
0022-01-J001-PV002-0000300JO     42172   MULTIJOC           107.04   547   DE_6_A_12_ANYS
0022-01-J001-PV002-0000301JO     42172   BALANCi            107.04   547   DE_6_A_12_ANYS
0024-02-J001-PV001-0000295JO     42155   MULTIJOC           205.91   547   DE_6_A_12_ANYS
0024-02-J001-PV001-0000296JO     42155   GRONXADOR          205.91   547   DE_6_A_12_ANYS
0024-02-J001-PV001-0004976JO     42155   SEIENT_GRONXADOR   205.91   547   DE_6_A_12_ANYS
0024-02-J001-PV001-0004977JO     42155   SEIENT_GRONXADOR   205.91   547   DE_6_A_12_ANYS
0025-01-J001-PV001-0000347JO     42400   BALANCi            163.45   546   FINS_A_5_ANYS
0025-01-J001-PV001-0000348JO     42400   MULTIJOC           163.45   546   FINS_A_5_ANYS
0025-01-J001-PV001-0000349JO     42400   VA_I_Ve            163.45   546   FINS_A_5_ANYS
0025-01-J001-PV001-0000350JO     42400   BALANCi            163.45   546   FINS_A_5_ANYS
0028-02-J002-PV001-0000428JO     42795   GRONXADOR          197.12   549   MIXTA
0028-02-J002-PV001-0000429JO     42795   GRIMPAR            197.12   549   MIXTA
0028-02-J002-PV001-0000430JO     42795   ALTRES_JOCS        197.12   549   MIXTA
0028-02-J002-PV001-0000431JO     42795   TOBOGAN            197.12   549   MIXTA
0028-02-J002-PV001-0000432JO     42795   BALANCi            197.12   549   MIXTA
0029-01-J001-PV001-0000425JO     42784   GRIMPAR            433.04   547   DE_6_A_12_ANYS
0029-01-J001-PV001-0000426JO     42784   TOBOGAN            433.04   547   DE_6_A_12_ANYS
0029-01-J001-PV001-0000427JO     42784   GRONXADOR          433.04   547   DE_6_A_12_ANYS
0029-01-J001-PV001-0004974JO     42784   SEIENT_GRONXADOR   433.04   547   DE_6_A_12_ANYS
0029-01-J001-PV001-0004975JO     42784   SEIENT_GRONXADOR   433.04   547   DE_6_A_12_ANYS
0030-02-J001-PV001-0004349JO    976002   ALTRES_JOCS        118.16   548   MAJORS_DE_12_ANYS
0030-02-J001-PV001-0004350JO    976002   GRIMPAR            118.16   548   MAJORS_DE_12_ANYS
0033-01-J001-PV004-0003457JO    696080   BALANCi            278.45   549   MIXTA
0033-01-J001-PV004-0003458JO    696080   BALANCi            278.45   549   MIXTA
0033-01-J001-PV004-0003459JO    696080   GRONXADOR          278.45   549   MIXTA
0033-01-J001-PV004-0003460JO    696080   GRONXADOR          278.45   549   MIXTA
0033-01-J001-PV004-0003463JO    696080   ALTRES_JOCS        278.45   549   MIXTA
0033-01-J001-PV004-0003464JO    696080   MULTIJOC           278.45   549   MIXTA
0033-01-J001-PV004-0004304JO    696080   MULTIJOC           278.45   549   MIXTA
0033-01-J001-PV004-0004739JO    696080   SEIENT_GRONXADOR   278.45   549   MIXTA
0033-01-J001-PV004-0004740JO    696080   SEIENT_GRONXADOR   278.45   549   MIXTA
0033-01-J001-PV004-0004741JO    696080   SEIENT_GRONXADOR   278.45   549   MIXTA
0033-01-J001-PV004-0004742JO    696080   SEIENT_GRONXADOR   278.45   549   MIXTA
0038-09-J001-PV001-0004378JO    956010   TAULA_SORRAL       160.28   549   MIXTA
0038-09-J001-PV001-0004379JO    956010   TAULA_SORRAL       160.28   549   MIXTA
0038-09-J001-PV001-0004380JO    956010   TAULA_SORRAL       160.28   549   MIXTA
0038-09-J001-PV001-0004381JO    956010   SORRALET           160.28   549   MIXTA
0038-09-J001-PV001-0004382JO    956010   SORRALET           160.28   549   MIXTA
0038-09-J001-PV001-0004383JO    956010   SORRALET           160.28   549   MIXTA
0038-09-J001-PV001-0004384JO    956010   SORRALET           160.28   549   MIXTA
0038-09-J001-PV002-0004262JO    956010   ALTRES_JOCS        160.28   549   MIXTA
0038-09-J001-PV002-0004263JO    956010   ALTRES_JOCS        160.28   549   MIXTA
0038-09-J001-PV002-0004264JO    956010   ALTRES_JOCS        160.28   549   MIXTA
0038-09-J001-PV003-0004377JO    956010   ALTRES_JOCS        160.28   549   MIXTA
0038-09-J002-PV001-0004267JO   956031   MULTIJOC           229.25   549   MIXTA
0042-01-J001-PV001-0000407JO    42738   BALANCi            208.55   547   DE_6_A_12_ANYS
0042-01-J001-PV001-0000408JO    42738   MULTIJOC           208.55   547   DE_6_A_12_ANYS
0042-01-J001-PV001-0000409JO    42738   BALANCi            208.55   547   DE_6_A_12_ANYS
0042-01-J001-PV001-0000410JO    42738   BALANCi            208.55   547   DE_6_A_12_ANYS
0042-01-J001-PV001-0000411JO    42738   BALANCi            208.55   547   DE_6_A_12_ANYS
0043-01-J001-PV001-0000405JO    42730   TOBOGAN            55.80    546   FINS_A_5_ANYS
0043-01-J001-PV001-0000406JO    42730   ALTRES_JOCS        55.80    546   FINS_A_5_ANYS
0044-01-J001-PV001-0000403JO    42721   VA_I_Ve            61.52    546   FINS_A_5_ANYS
0044-01-J001-PV001-0000404JO    42721   MULTIJOC           61.52    546   FINS_A_5_ANYS
0046-01-J001-PV001-0000394JO    42687   MULTIJOC           132.43   546   FINS_A_5_ANYS
0046-01-J002-PV001-0000400JO    42688   BALANCi            135.40   547   DE_6_A_12_ANYS
0046-01-J002-PV001-0000401JO    42688   BALANCi            135.40   547   DE_6_A_12_ANYS
0046-01-J002-PV001-0003357JO    42688   BALANCi            135.40   547   DE_6_A_12_ANYS
0046-01-J002-PV001-0003359JO    42688   TORRE_TOBOGAN      135.40   547   DE_6_A_12_ANYS
0046-01-J003-PV001-0003358JO    42689   GRONXADOR          139.85   546   FINS_A_5_ANYS
0046-01-J003-PV001-0003361JO    42689   BALANCi            139.85   546   FINS_A_5_ANYS
0046-01-J003-PV001-0003362JO    42689   BALANCi            139.85   546   FINS_A_5_ANYS
0046-01-J003-PV001-0003363JO    42689   BALANCi            139.85   546   FINS_A_5_ANYS
0046-01-J003-PV001-0003364JO    42689   VA_I_Ve            139.85   546   FINS_A_5_ANYS
0046-01-J004-PV001-0000390JO    42690   EQUILIBRI          134.02   547   DE_6_A_12_ANYS
0046-01-J004-PV001-0000395JO    42690   ALTRES_JOCS        134.02   547   DE_6_A_12_ANYS
0046-01-J004-PV001-0000402JO    42690   EQUILIBRI          134.02   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000384JO    42676   VA_I_Ve            225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000385JO    42676   BALANCi            225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000386JO    42676   GRONXADOR          225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000387JO    42676   MULTIJOC           225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000388JO    42676   TOBOGAN            225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0000389JO    42676   BALANCi            225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0004978JO    42676   SEIENT_GRONXADOR   225.69   547   DE_6_A_12_ANYS
0047-01-J001-PV001-0004979JO    42676   SEIENT_GRONXADOR   225.69   547   DE_6_A_12_ANYS
0051-01-J001-PV001-0000378JO    42650   BALANCi            341.70   549   MIXTA
0051-01-J001-PV001-0000379JO    42650   BALANCi            341.70   549   MIXTA
0051-01-J001-PV003-0000381JO    42650   GRONXADOR          341.70   549   MIXTA
0051-01-J001-PV003-0000382JO    42650   GRONXADOR          341.70   549   MIXTA
0051-01-J001-PV005-0000380JO    42650   GRONXADOR          341.70   549   MIXTA
0051-01-J001-PV005-0000383JO    42650   TORRE_TOBOGAN      341.70   549   MIXTA
0055-01-J001-PV001-0000373JO    42619   MULTIJOC           201.03   547   DE_6_A_12_ANYS
0055-01-J002-PV001-0000371JO    42621   BALANCi            186.16   546   FINS_A_5_ANYS
0055-01-J002-PV001-0000372JO    42621   BALANCi            186.16   546   FINS_A_5_ANYS
0055-01-J002-PV001-0000374JO    42621   VA_I_Ve            186.16   546   FINS_A_5_ANYS
0055-01-J002-PV001-0000375JO    42621   MULTIJOC           186.16   546   FINS_A_5_ANYS
0055-01-J002-PV001-0000377JO    42621   BALANCi            186.16   546   FINS_A_5_ANYS
0055-01-J003-PV001-0000376JO    42620   MULTIJOC           109.20   547   DE_6_A_12_ANYS
0055-01-J004-PV002-0003119JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0055-01-J004-PV002-0003121JO   662578   BALANCi            538.48   549   MIXTA
0055-01-J004-PV002-0003122JO   662578   BALANCi            538.48   549   MIXTA
0055-01-J004-PV003-0003117JO   662578   TOBOGAN            538.48   549   MIXTA
0055-01-J004-PV003-0003123JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0055-01-J004-PV003-0003127JO   662578   GRIMPAR            538.48   549   MIXTA
0055-01-J004-PV005-0003118JO   662578   GRONXADOR          538.48   549   MIXTA
0055-01-J004-PV005-0003124JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0055-01-J004-PV005-0003126JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0055-01-J004-PV005-0004633JO   662578   SEIENT_GRONXADOR   538.48   549   MIXTA
0055-01-J004-PV005-0004634JO   662578   SEIENT_GRONXADOR   538.48   549   MIXTA
0055-01-J004-PV006-0003116JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0055-01-J004-PV006-0003120JO   662578   ALTRES_JOCS        538.48   549   MIXTA
0056-02-J001-PV002-0003859JO    42469   MULTIJOC           562.42   549   MIXTA
0056-02-J001-PV002-0003860JO    42469   GRONXADOR          562.42   549   MIXTA
0056-02-J001-PV002-0003861JO    42469   GRONXADOR          562.42   549   MIXTA
0056-02-J001-PV002-0003862JO    42469   BALANCi            562.42   549   MIXTA
0056-02-J001-PV002-0003865JO    42469   ALTRES_JOCS        562.42   549   MIXTA
0056-02-J002-PV002-0000366JO    42470   MULTIJOC           250.75   549   MIXTA
0056-02-J002-PV002-0004176JO    42470   ALTRES_JOCS        250.75   549   MIXTA
0056-02-J002-PV002-0004177JO    42470   VA_I_Ve            250.75   549   MIXTA
0056-02-J003-PV001-0003077JO   661324   BALANCi            77.85    546   FINS_A_5_ANYS
0056-02-J003-PV001-0003078JO   661324   TOBOGAN            77.85    546   FINS_A_5_ANYS
0056-02-J004-PV001-0000356JO    42472   BALANCi            246.05   546   FINS_A_5_ANYS
0056-02-J004-PV001-0000358JO    42472   BALANCi            246.05   546   FINS_A_5_ANYS
0056-02-J004-PV001-0003866JO    42472   TOBOGAN            246.05   546   FINS_A_5_ANYS
0056-02-J004-PV001-0003867JO    42472   GRONXADOR          246.05   546   FINS_A_5_ANYS
0056-02-J004-PV001-0003868JO    42472   BALANCi            246.05   546   FINS_A_5_ANYS
0056-02-J005-PV001-0003076JO   661323   GRIMPAR            97.08    547   DE_6_A_12_ANYS
0058-01-J001-PV001-0003825JO   828417   GRONXADOR          89.20    547   DE_6_A_12_ANYS
